W,Название (рус.),Title (en),Titre (fr),Год,"Размер, см",Статус,Где хранится,Location,Страна,Country,Последняя известная продажа,Тип изображения,Изображение на сайте,Источник изображения,Wikidata,Ссылка на карточку
1,Вид в Руэле. Гавр,"View at Rouelles, Le Havre",Vue prise à Rouelles,1858,46 × 65,музей,"Художественный парк Марунума, Асака","Marunuma Art Park, Asaka",Япония,Japan,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1.webp,https://commons.wikimedia.org/wiki/File:Monet%2C_Claude_-_View_At_Rouelles%2C_Le_Havre_(1858).jpg,https://www.wikidata.org/wiki/Q22338327,https://monet.1vasiliadi.com/#w1
2,Натюрморт,Still Life,Nature morte,1859,,утрачена / местонахождение неизвестно,,,,,,нет,,,,https://monet.1vasiliadi.com/#w2
3,Натюрморт,Still Life,,1859,,утрачена / местонахождение неизвестно,,,,,,нет,,,,https://monet.1vasiliadi.com/#w3
4,Натюрморт,Still Life,,1859,,утрачена / местонахождение неизвестно,,,,,,нет,,,,https://monet.1vasiliadi.com/#w4
5,Пейзаж с заводами,Landscape with Factories,Paysage d'usines,1858–61,22 × 40,частная коллекция,,,,,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w5.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Paysage_d'usines_W5.jpg,https://www.wikidata.org/wiki/Q110969973,https://monet.1vasiliadi.com/#w5
5a,Пейзаж с заводами,Landscape with Factories,Paysage d'usines,1858–61,17 × 29,частная коллекция,,,Япония,Japan,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w5a.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_5a.png,https://www.wikidata.org/wiki/Q113975441,https://monet.1vasiliadi.com/#w5a
6,Уголок мастерской,Corner of a Studio,Coin d'atelier,1861,182 × 127,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w6.webp,https://commons.wikimedia.org/wiki/File:Claude_monet%2C_angolo_dello_studio%2C_1861%2C_01.JPG,https://www.wikidata.org/wiki/Q11826533,https://monet.1vasiliadi.com/#w6
7,Натюрморт с фазаном,Still Life with Pheasant,Nature morte au faisan,1861,76 × 62.5,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w7.webp,https://commons.wikimedia.org/wiki/File:Monet-faisan-mus%C3%A9e_de_rouen.jpg,https://www.wikidata.org/wiki/Q17494428,https://monet.1vasiliadi.com/#w7
8,Алжирская сцена,Algerian Scene,Scène algérienne,1861–1862,,уничтожена,,,,,,нет,,,,https://monet.1vasiliadi.com/#w8
9,Отбивная,The Cutlet,La Côtelette,1861,33 × 45,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w9.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_9.png,https://www.wikidata.org/wiki/Q123537562,https://monet.1vasiliadi.com/#w9
